ticker,empresa,ano,trimestre,receita_milhoes
IGTI3,Iguatemi,2022,1,480.5
IGTI3,Iguatemi,2022,2,510.2
IGTI3,Iguatemi,2022,3,498.7
IGTI3,Iguatemi,2022,4,620.1
IGTI3,Iguatemi,2023,1,530.3
IGTI3,Iguatemi,2023,2,555.8
IGTI3,Iguatemi,2023,3,541.2
IGTI3,Iguatemi,2023,4,680.4
OFSA3,Ourofino,2022,1,310.1
OFSA3,Ourofino,2022,2,325.6
OFSA3,Ourofino,2022,3,298.4
OFSA3,Ourofino,2022,4,410.2
OFSA3,Ourofino,2023,1,340.5
OFSA3,Ourofino,2023,2,358.9
OFSA3,Ourofino,2023,3,332.1
OFSA3,Ourofino,2023,4,445.7
WEGE3,WEG,2022,1,4250.3
WEGE3,WEG,2022,2,4480.7
WEGE3,WEG,2022,3,4310.5
WEGE3,WEG,2022,4,5100.2
WEGE3,WEG,2023,1,4620.1
WEGE3,WEG,2023,2,4890.3
WEGE3,WEG,2023,3,4755.8
WEGE3,WEG,2023,4,5480.6
